Feature	A549	GM12878	HelaS3	HepG2	HMEC	HUVEC	K562	MCF7
AP-2ALPHA(TFAP2A)	0	0	1	0	0	0	0	0
AP-2GAMMA(TFAP2C)	0	0	1	0	0	0	0	0
ARID3A	0	0	0	1	0	0	1	0
ATF1	0	0	0	0	0	0	1	0
ATF2	0	1	0	0	0	0	0	0
ATF3	1	1	0	1	0	0	1	0
BACH1	0	0	0	0	0	0	1	0
BAF155(SMARCC1)	0	0	1	0	0	0	0	0
BAF170(SMARCC2)	0	0	1	0	0	0	0	0
BATF	0	1	0	0	0	0	0	0
BCL11A	0	1	0	0	0	0	0	0
BCL3	1	1	0	0	0	0	0	0
BCLAF1	0	1	0	0	0	0	1	0
BDP1	0	0	1	0	0	0	1	0
BHLHE40	1	1	0	1	0	0	1	0
BRCA1	0	1	1	1	0	0	0	0
BRF1	0	0	1	0	0	0	1	0
BRF2	0	0	1	0	0	0	1	0
BRG1(SMARCA4)	0	0	1	0	0	0	1	0
C-FOS(FOS)	0	1	1	0	0	1	1	0
C-JUN(JUN)	0	0	1	1	0	1	1	0
C-MYC(MYC)	1	1	1	1	0	1	1	1
CBP(CREBBP)	0	0	0	0	0	0	1	0
CBX2	0	0	0	0	0	0	1	0
CBX3	0	0	0	0	0	0	1	0
CBX8	0	0	0	0	0	0	1	0
CCNE1	0	0	0	0	0	0	1	0
CCNT2	0	0	0	0	0	0	1	0
CDKN1B	0	0	0	0	0	0	1	0
CDP(CUX1)	0	1	0	0	0	0	1	0
CEBPB	1	1	1	1	0	0	1	1
CEBPD	0	0	0	1	0	0	1	0
CEBPZ	0	0	0	1	0	0	0	0
CHD1	0	1	0	0	0	0	1	0
CHD2	0	1	1	1	0	0	1	0
CHD4	0	0	0	0	0	0	1	0
CHD7	0	0	0	0	0	0	1	0
CHIAPET(CTCF)	0	0	0	0	0	0	1	1
CHIAPET(ERAA)	0	0	0	0	0	0	0	1
CHIAPET(POL2)	0	0	1	0	0	0	0	1
COREST(RCOR1)	0	1	1	1	0	0	1	0
CPGISLANDS	1	1	1	1	1	1	1	1
CREB1	1	1	0	1	0	0	1	0
CTCF	1	1	1	1	1	1	1	1
DNASE	1	1	1	1	1	1	1	1
E2F1	0	0	1	0	0	0	0	0
E2F4	0	1	1	0	0	0	1	0
E2F6	1	0	1	0	0	0	1	0
EBF1	0	1	0	0	0	0	0	0
EGR1	0	1	0	0	0	0	1	1
ELF1	1	1	0	1	0	0	1	1
ELK1	0	1	1	0	0	0	1	0
ELK4	0	0	1	0	0	0	0	0
ERRA	0	1	0	0	0	0	0	0
ETS1	1	1	0	0	0	0	1	0
EZH2	0	1	1	1	1	1	1	0
FAIRE	1	1	1	1	0	1	1	1
FOSL1	0	0	0	0	0	0	1	0
FOSL2	1	0	0	1	0	0	0	1
FOXA1	1	0	0	1	0	0	0	0
FOXA2	0	0	0	1	0	0	0	0
FOXM1	0	1	0	0	0	0	0	1
GABP(GABPA)	1	1	1	1	0	0	1	1
GATA1	0	0	0	0	0	0	1	0
GATA2	0	0	0	0	0	1	1	0
GATA3	1	0	0	0	0	0	0	1
GCN5	0	1	0	0	0	0	0	0
GCN5(KAT2A)	0	0	1	0	0	0	0	0
GR(NR3C1)	1	0	0	0	0	0	0	0
GTF2B	0	0	0	0	0	0	1	0
GTF2F1	0	0	1	0	0	0	1	0
H2A.Z	1	1	1	1	1	1	1	0
H3K27AC	1	1	1	1	1	1	1	1
H3K27ME3	1	1	1	1	1	1	1	1
H3K36ME3	1	1	1	1	1	1	1	1
H3K4ME1	1	1	1	1	1	1	1	0
H3K4ME2	1	1	1	1	1	1	1	0
H3K4ME3	1	1	1	1	1	1	1	1
H3K79ME2	1	1	1	1	1	1	1	0
H3K9AC	1	1	1	1	1	1	1	0
H3K9ME1	0	0	0	0	0	1	1	0
H3K9ME3	1	1	1	1	1	1	1	1
